kanji yomi
当  あ
安全  あんぜん
言  い
家  いえ
以下  いか
息切  いきぎ
医師  いし
意思  いし
意識  いしき
一日  いちにち
著  いちじる
医療  いりょう
員  いん
因子  いんし
飲酒  いんしゅ
引退  いんたい
一緒  いっしょ
以上  いじょう
移乗  いじょう
移動  いどう
以外	いがい
医学	いがく
受  う
促  うなが
運動  うんどう
影響  えいきょう
選  えら
起  お
応  おう
横行結腸  おうこうけっちょう
行  おこな
抑  おさ
同  おな
主  おも
音声  おんせい
夫  おっと
改革  かいかく
開催  かいさい
解釈	かいしゃく
改修  かいしゅう
回数  かいすう
快適  かいてき
会話  かいわ
海外	かいがい
会議  かいぎ
介護  かいご
介護福祉  かいごふくし
介護福祉士  かいごふくしし
介助  かいじょ
階段  かいだん
確認  かくにん
下肢  かし
加湿  かしつ
肩関節  かたかんせつ
活用  かつよう
活動  かつどう
過程	かてい
家庭  かてい
下方  かほう
加齢  かれい
環境  かんきょう
関係  かんけい
関心  かんしん
関す  かんす
関節  かんせつ
感染  かんせん
乾燥機  かんそうき
観点  かんてん
管理  かんり
関連付	かんれんづ
考  かんが
看護  かんご
感情  かんじょう
家具  かぐ
家事  かじ
家族  かぞく
課題	かだい
壁側  かべがわ
外  がい
外出  がいしゅつ
該当  がいとう
柄  がら
器  き
決  き
機会  きかい
機関  きかん
基幹  きかん
気管  きかん
機構  きこう
起床  きしょう
機能  きのう
基本  きほん
決め  きめ
気持  きも
菌  きん
筋萎縮性側索硬化症  きんいしゅくせいじくさくこうかしょう
勤務  きんむ
金銭  きんせん
筋肉  きんにく
近隣  きんりん
近所  きんじょ
記述  きじゅつ
基準  きじゅん
局部床  きょくぶしょう
希望  きぼう
吸引  きゅういん
休憩  きゅうけい
給付  きゅうふ
給与  きゅうよ
共同	きょうどう
居室  きょしつ
居宅  きょたく
居住  きょじゅう
拒絶的  きょぜつてき
義歯  ぎし
義務  ぎむ
虐待  ぎゃくたい
行政  ぎょうせい
業務上  ぎょうむじょう
技術  ぎじゅつ
区画  くかく
国  くに
車  くるま
訓練  くんれん
屈曲  くっきょく
具体的  ぐたいてき
計画	けいかく
形成  けいせい
継続  けいぞく
軽度  けいど
血液  けつえき
健康  けんこう
権利  けんり
現象  げんしょう
原則  げんそく
限定  げんてい
原理  げんり
現在  げんざい
言語  げんご
言語的  げんごてき
現在  げんざい
限度額  げんどがく
現場  げんば
口腔  こうくう
口腔内  こうくうない
後見人  こうけんにん
厚生労働省	こうせいろうどうしょう
公平性  こうへいせい
項目  こうもく
考慮  こうりょ
高齢  こうれい
高齢者  こうれいしゃ
高齢者等  こうれいしゃとう
光源  こうげん
恒常性  こうじょうせい
構造  こうぞう
混濁  こんだく
行動  こうどう
声  こえ
呼吸  こきゅう
国際  こくさい
骨盤底筋  こつばんていきん
困  こま
困窮者  こんきゅうしゃ
困難  こんなん
混乱  こんらん
今後  こんご
個人  こじん
個別  こべつ
歳  さい
最近  さいきん
最初  さいしょ
最小限  さいしょうげん
財布  さいふ
最期  さいご
細胞  さいぼう
作成  さくせい
昨年  さくねん
支  ささ
様々	さまざま
参加  さんか
酸素系  さんそけい
産業医  さんぎょうい
散歩  さんぽ
作業療法士  さぎょうりょうほうし
財産  ざいさん
在宅  ざいたく
市  し
士  し
師  し
支援  しえん
視覚  しかく
敷地内  しきちない
支給  しきゅう
資産  しさん
支障  ししょう
姿勢  しせい
施設  しせつ
市町村  しちょうそん
室内  しつない
湿度  しつど
指定  してい
支配  しはい
市民的  しみんてき
心気妄想  しんきもうそう
神経  しんけい
進行  しんこう
心身  しんしん
身体  しんたい
身体的  しんたいてき
信頼  しんらい
心理  しんり
心理的  しんりてき
診療所  しんりょうじょ
心臓  しんぞう
診断  しんだん
失禁  しっきん
社会  しゃかい
社会的  しゃかいてき
収集	しゅうしゅう
収縮  しゅうしゅく
主張  しゅちょう
趣味  しゅみ
手段的  しゅだんてき
症候群  しょうこうぐん
小規模  しょうきぼ
宗教  しゅうきょう
終身  しゅうしん
少人数  しょうにんずう
障害  しょうがい
障害者  しょうがいしゃ
症状  しょうじょう
職  しょく
職員  しょくいん
職種  しょくしゅ
食品  しょくひん
食事  しょくじ
食堂  しょくどう
職場  しょくば
処分  しょぶん
支持的  しじてき
刺激  しげき
死後  しご
仕事  しごと
時間  じかん
事故  じこ
自己  じこ
自身  じしん
自宅  じたく
自閉症  じへいしょう
自立  じりつ
自立度	じりつど
事業  じぎょう
自分  じぶん
実習  じっしゅう
実行  じっこう
実施	じっし
弱者  じゃくしゃ
住宅  じゅうたく
十分  じゅうぶん
受検  じゅけん
受診  じゅしん
受容  じゅよう
受容期  じゅようき
需要  じゅよう
巡回  じゅんかい
遵守  じゅんしゅ
順番  じゅんばん
準備	じゅんび
状況  じょうきょう
上司  じょうし
状態  じょうたい
常駐  じょうちゅう
情報  じょうほう
上方  じょうほう
静脈  じょうみゃく
常時  じょうじ
女性  じょせい
助言  じょげん
徐々  じょじょ
人工  じんこう
人物  じんぶつ
過  す
遂行  すいこう
隙間  すきま
随時  ずいじ
生活  せいかつ
性  せい
性交痛  せいこうつう
制定  せいてい
制限  せいげん
政治  せいじ
成人  せいじん
制度  せいど
世界  せかい
責任  せきにん
責任者  せきにんしゃ
世帯  せたい
説明  せつめい
繊維  せんい
洗濯  せんたく
選択  せんたく
専門  せんもん
潜在  せんざい
接触型  せっしょくがた
設置  せっち
前傾姿勢  ぜんけいしせい
喪失  そうしつ
創設  そうせつ
総合  そうごう
掃除  そうじ
相談  そうだん
促進  そくしん
測定  そくてい
疎通  そつう
尊重  そんちょう
尊厳  そんげん
対応  たいおう
対応型共同生活介護  たいおうがたきょうどうせいかつかいご
対処  たいしょ
対象  たいしょう
大正琴  たいしょうごと
対象者  たいしょうしゃ
体性  たいせい
体制  たいせい
大切  たいせつ
体調  たいちょう
貸与  たいよ
多機能型  たきのうがた
多少  たしょう
短期  たんき
担当者  たんとうしゃ
端座位  たんざい
達成  たっせい
互い  たがい
第  だい
大臀筋  だいでんきん
段階  だんかい
男性  だんせい
地域  ちいき
知的  ちてき
治療  ちりょう
注意  ちゅうい
中心  ちゅうしん
中年期  ちゅうねんき
中重度  ちゅうじゅうど
聴覚  ちょうかく
長期化  ちょうきか
調査  ちょうさ
長男  ちょうなん
貯留物  ちょりゅうぶつ
通過  つうか
通所  つうしょ
伝  つた
妻  つま
次  つぎ
手  て
手足  てあし
提案  ていあん
