kanji	yomi
一人	ひとり
一人息子	ひとりむすこ
一人暮	ひとりぐ
一員	いちいん
一度	いちど
一度解凍	いちどかいとう
一律	いちりつ
一方的	いっぽうてき
一日	いちにち
一日中	いちにちじゅう
一時保護	いちじほご
一時的	いちじてき
一点	いってん
一番	いちばん
一緒	いっしょ
一般的	いっぱんてき
一部	いちぶ
三叉神経	さんさしんけい
上で	じょうで
上体	じょうたい
上半身	じょうはんしん
上司	じょうし
上手	じょうず
上方	じょうほう
上昇	じょうしょう
上肢	じょうし
上部	じょうぶ
上顎	うわあご
下に	したに
下げ	さげ
下剤以外	げざいいがい
下垂体	かすいたい
下方	かほう
下着	したぎ
下肢	かし
下肢筋力	かしきんりょく
下顎	がかく
不	ふ
不安	ふあん
不安定	ふあんてい
不快感	ふかいかん
不満	ふまん
不眠	ふみん
不要	ふよう
不足	ふそく
不随意的	ふずいいてき
不飽和脂肪酸	ふほうわしぼうさん
与	あた
世帯	せたい
世界	せかい
世話	せわ
両手	りょうて
両耳	りょうみみ
両膝	りょうひざ
両親	りょうしん
両輪	りょうりん
両面	りょうめん
並	なみ
中	なか
中年期	ちゅうねんき
中心	ちゅうしん
中心線	ちゅうしんせん
中断	ちゅうだん
中止	ちゅうし
中耳	ちゅうじ
中脳	ちゅうのう
中途視覚障害者	ちゅうとしかくしょうがいしゃ
中重度	ちゅうじゅうど
中鼻道	ちゅうびどう
丸椅子	まるいす
主に	おもに
主任介護支援専門員	しゅにんかいごしえんせんもんいん
主体	しゅたい
主体性	しゅたいせい
主催	しゅさい
主導	しゅどう
主張	しゅちょう
主治医	しゅじい
主観	しゅかん
主観的情報	しゅかんてきじょうほう
乾	かわき
乾燥	かんそう
乾燥機	かんそうき
予防	よぼう
予防対策	よぼうたいさく
事例	じれい
事前	じぜん
事故	じこ
事故防止	じこぼうし
事業	じぎょう
事業主	じぎょうしゅ
事業主支援	じぎょうしゅしえん
事業所	じぎょうしょ
事業所長	じぎょうしょちょう
事業者	じぎょうしゃ
事項	じこう
二人暮	ふたりぐ
互	たが
互い	たがい
些細	ささい
亢進	こうしん
交付	こうふ
交代	こうたい
交換	こうかん
交流	こうりゅう
人	ひと
人以上	にんいじょう
人以下	にんいか
人工	じんこう
人工喉頭	じんこうこうとう
人形	にんぎょう
人権	じんけん
人気	にんき
人物	じんぶつ
人生	じんせい
人見知	ひとみし
人間	にんげん
人間関係	にんげんかんけい
今	いま
今後	こんご
今日	きょう
介助	かいじょ
介助方法	かいじょほうほう
介護	かいご
介護付有料老人	かいごつきゆうりょうろうじん
介護休業	かいごきゅうぎょう
介護保険	かいごほけん
介護保険制度	かいごほけんせいど
介護保険施設	かいごほけんしせつ
介護保険法	かいごほけんほう
介護医療院	かいごいりょういん
介護従事者	かいごじゅうじしゃ
介護施設	かいごしせつ
介護福祉	かいごふくし
介護福祉士	かいごふくしし
介護福祉士国家試験	かいごふくししこっかしけん
介護福祉士法	かいごふくししほう
介護福祉士養成施設	かいごふくししようせいしせつ
介護福祉職	かいごふくししょく
介護給付	かいごきゅうふ
介護給付費	かいごきゅうふひ
介護老人保健施設	かいごろうじんほけんしせつ
介護老人福祉施設	かいごろうじんふくししせつ
介護計画	かいごけいかく
介護記録	かいごきろく
介護認定審査会	かいごにんていしんさかい
介護過程	かいごかてい
仕事	しごと
仕組	しくみ
他	ほか
他人	たにん
他者	たしゃ
他職種	たしょくしゅ
付	つ
代	だい
代弁	だいべん
代行	だいこう
令和	れいわ
令和元年	れいわがんねん
以上	いじょう
以下	いか
以前	いぜん
以外	いがい
仮面様顔貌	かめんようがんぼう
仰臥位	ぎょうがい
仲間	なかま
任意	にんい
休	やす
休息	きゅうそく
休憩	きゅうけい
休日	きゅうじつ
休暇	きゅうか
会社	かいしゃ
会社員	かいしゃいん
会計	かいけい
会話	かいわ
会議	かいぎ
伝	つた
伝達	でんたつ
伴	ともな
伸	のび
位置	いち
低い	ひくい
低め	ひくめ
低下	ていか
低体重	ていたいじゅう
住み	すみ
住宅	じゅうたく
住居	じゅうきょ
体	からだ
体制	たいせい
体幹	たいかん
体性	たいせい
体操	たいそう
体調	たいちょう
体調不良	たいちょうふりょう
体験	たいけん
体験談	たいけんだん
何	なに
何回	なんかい
何度	なんど
余暇活動	よかかつどう
作	つく
作成	さくせい
作業中	さぎょうちゅう
作業療法士	さぎょうりょうほうし
作用	さよう
併用	へいよう
使い	つかい
使用	しよう
使用状況	しようじょうきょう
依頼	いらい
侵入	しんにゅう
侵蝕	しんしょく
便	べん
便座	べんざ
便意	べんい
便秘	べんぴ
促	うなが
促進	そくしん
促進等	そくしんとう
保健	ほけん
保健師助産師看護師法	ほけんしじょさんしかんごしほう
保健所	ほけんじょ
保存	ほぞん
保存性	ほぞんせい
保持	ほじ
保管	ほかん
保管方法	ほかんほうほう
保育所等	ほいくしょとう
保育所等訪問支援	ほいくしょとうほうもんしえん
保護	ほご
保険	ほけん
保険料	ほけんりょう
保障	ほしょう
信用	しんよう
信頼	しんらい
信頼関係	しんらいかんけい
修正	しゅうせい
個人	こじん
個別	こべつ
個別支援会議	こべつしえんかいぎ
個別避難計画	こべつひなんけいかく
個浴	こよく
倒	たお
健康	けんこう
健康型有料老人	けんこうがたゆうりょうろうじん
健康診断	けんこうしんだん
側臥位	そくがい
偽物	にせもの
備	そな
備蓄	びちく
傷	きず
働	はたら
優	やさしい
優先	ゆうせん
優先度	ゆうせんど
元気	げんき
兄	あに
兄弟姉妹	きょうだいしまい
先	さき
先天性	せんてんせい
光	ひかり
光源	こうげん
免除	めんじょ
児童	じどう
入	はい
入会	にゅうかい
入口	いりぐち
入居	にゅうきょ
入所	にゅうしょ
入所中	にゅうしょちゅう
入所当日	にゅうしょとうじつ
入浴	にゅうよく
入浴直前	にゅうよくちょくぜん
入眠初期	にゅうみんしょき
入社	にゅうしゃ
入院中	にゅういんちゅう
入院治療	にゅういんちりょう
全介助	ぜんかいじょ
全国一律	ぜんこくいちりつ
全般的	ぜんぱんてき
全身清拭	ぜんしんせいしき
公共職業安定所	こうきょうしょくぎょうあんていじょ
公平性	こうへいせい
共	とも
共同	きょうどう
共同作業	きょうどうさぎょう
共同生活	きょうどうせいかつ
共同連帯	きょうどうれんたい
共感	きょうかん
共有	きょうゆう
共生	きょうせい
共生社会	きょうせいしゃかい
共通	きょうつう
具体化	ぐたいか
具体的	ぐたいてき
内	うち
内容	ないよう
内容物	ないようぶつ
内罰	ないばつ
内耳	ないじ
内臓	ないぞう
内転	ないてん
内部	ないぶ
内閣府	ないかくふ
円熟	えんじゅく
再冷凍	さいれいとう
再加熱	さいかねつ
再就職先	さいしゅうしょくさき
写真	しゃしん
冬	ふゆ
冷凍食品	れいとうしょくひん
冷房	れいぼう
冷水	れいすい
冷蔵庫	れいぞうこ
処分	しょぶん
出	だ
出入	でいり
出現	しゅつげん
出生後	しゅっしょうご
