kanji	yomi
一人	ひとり
一人息子	ひとりむすこ
一人暮	ひとりぐ
一口量	ひとくちりょう
一員	いちいん
一度	いちど
一度解凍	いちどかいとう
一律	いちりつ
一方的	いっぽうてき
一日	いちにち
一日中	いちにちじゅう
一時保護	いちじほご
一時的	いちじてき
一杯	いっぱい
一点	いってん
一番	いちばん
一緒	いっしょ
一般就労	いっぱんしゅうろう
一般的	いっぱんてき
一部	いちぶ
万円	まんえん
三叉神経	さんさしんけい
三親等内	さんしんとうない
三角筋	さんかくきん
上	うえ
上で	じょうで
上体	じょうたい
上半身	じょうはんしん
上司	じょうし
上手	じょうず
上方	じょうほう
上昇	じょうしょう
上着	うわぎ
上端	じょうたん
上肢	じょうし
上腕	じょうわん
上腕三頭筋	じょうわんさんとうきん
上行結腸	じょうこうけっちょう
上部	じょうぶ
上部右側	じょうぶみぎがわ
上部左斜	じょうぶひだりななめ
上部真	じょうぶま
上顎	うわあご
下	した
下げ	さげ
下に	したに
下剤以外	げざいいがい
下垂体	かすいたい
下方	かほう
下痢	げり
下着	したぎ
下肢	かし
下肢筋力	かしきんりょく
下膳	げぜん
下行結腸	かこうけっちょう
下部左側	かぶひだりがわ
下部左斜	かぶひだりななめ
下顎	がかく
不	ふ
不可能	ふかのう
不安	ふあん
不安定	ふあんてい
不快感	ふかいかん
不満	ふまん
不眠	ふみん
不要	ふよう
不足	ふそく
不随意的	ふずいいてき
不飽和脂肪酸	ふほうわしぼうさん
与	あた
世帯	せたい
世帯当	せたいあた
世帯構造	せたいこうぞう
世界	せかい
世話	せわ
両上肢	りょうじょうし
両下肢	りょうかし
両下腿	りょうかたい
両手	りょうて
両耳	りょうみみ
両膝	りょうひざ
両膝窩部	りょうしつかぶ
両親	りょうしん
両輪	りょうりん
両面	りょうめん
並	なみ
中	なか
中年期	ちゅうねんき
中心	ちゅうしん
中心線	ちゅうしんせん
中断	ちゅうだん
中期以降	ちゅうきいこう
中止	ちゅうし
中耳	ちゅうじ
中脳	ちゅうのう
中途視覚障害者	ちゅうとしかくしょうがいしゃ
中途障害	ちゅうとしょうがい
中重度	ちゅうじゅうど
中間	ちゅうかん
中鼻道	ちゅうびどう
丸椅子	まるいす
主	おも
主に	おもに
主任介護支援専門員	しゅにんかいごしえんせんもんいん
主体	しゅたい
主体性	しゅたいせい
主催	しゅさい
主導	しゅどう
主張	しゅちょう
主治医	しゅじい
主観	しゅかん
主観的情報	しゅかんてきじょうほう
乾	かわき
乾燥	かんそう
乾燥機	かんそうき
予備力	よびりょく
予定	よてい
予防	よぼう
予防対策	よぼうたいさく
事例	じれい
事前	じぜん
事情	じじょう
事故	じこ
事故発生予防	じこはっせいよぼう
事故防止	じこぼうし
事業	じぎょう
事業主	じぎょうしゅ
事業主支援	じぎょうしゅしえん
事業場	じぎょうじょう
事業所	じぎょうしょ
事業所長	じぎょうしょちょう
事業者	じぎょうしゃ
事項	じこう
二人暮	ふたりぐ
二次避難	にじひなん
互	たが
互い	たがい
些細	ささい
亡	なき
亢進	こうしん
交互	こうご
交付	こうふ
交代	こうたい
交換	こうかん
交流	こうりゅう
交通事故	こうつうじこ
人	ひと
人以上	にんいじょう
人以下	にんいか
人員配置基準	じんいんはいちきじゅん
人工	じんこう
人工呼吸器	じんこうこきゅうき
人工喉頭	じんこうこうとう
人形	にんぎょう
人権	じんけん
人気	にんき
人物	じんぶつ
人生	じんせい
人的環境	じんてきかんきょう
人見知	ひとみし
人間	にんげん
人間関係	にんげんかんけい
今	いま
今度	こんど
今後	こんご
今後泊	こんごはく
今日	きょう
今朝	けさ
介助	かいじょ
介助方法	かいじょほうほう
介護	かいご
介護主任	かいごしゅにん
介護予防	かいごよぼう
介護予防住宅改修	かいごよぼうじゅうたくかいしゅう
介護予防小規模多機能型居宅介護	かいごよぼうしょうきぼたきのうがたきょたくかいご
介護予防認知症対応型共同生活介護	かいごよぼうにんちしょうたいおうがたきょうどうせいかつかいご
介護予防通所	かいごよぼうつうしょ
介護付	かいごつき
介護付有料老人	かいごつきゆうりょうろうじん
介護休業	かいごきゅうぎょう
介護保険	かいごほけん
介護保険制度	かいごほけんせいど
介護保険審査会	かいごほけんしんさかい
介護保険施設	かいごほけんしせつ
介護保険法	かいごほけんほう
介護医療院	かいごいりょういん
介護従事者	かいごじゅうじしゃ
介護技術	かいごぎじゅつ
介護支援専門員	かいごしえんせんもんいん
介護施設	かいごしせつ
介護現場	かいごげんば
介護目標	かいごもくひょう
介護福祉	かいごふくし
介護福祉士	かいごふくしし
介護福祉士国家試験	かいごふくししこっかしけん
介護福祉士法	かいごふくししほう
介護福祉士養成施設	かいごふくししようせいしせつ
介護福祉施設	かいごふくししせつ
介護福祉職	かいごふくししょく
介護等	かいごとう
介護給付	かいごきゅうふ
介護給付費	かいごきゅうふひ
介護老人保健施設	かいごろうじんほけんしせつ
介護老人福祉施設	かいごろうじんふくししせつ
介護者	かいごしゃ
介護計画	かいごけいかく
介護計画立案時	かいごけいかくりつあんじ
介護記録	かいごきろく
介護認定審査会	かいごにんていしんさかい
介護過程	かいごかてい
仕事	しごと
仕組	しくみ
他	ほか
他人	たにん
他者	たしゃ
他職種	たしょくしゅ
付	つ
付着	ふちゃく
仙骨部	せんこつぶ
代	だい
代弁	だいべん
代行	だいこう
令和	れいわ
令和元年	れいわがんねん
以上	いじょう
以下	いか
以前	いぜん
以外	いがい
仮面様顔貌	かめんようがんぼう
仰臥位	ぎょうがい
仲間	なかま
任	まか
任意	にんい
任意事業	にんいじぎょう
休	やす
休息	きゅうそく
休憩	きゅうけい
休憩時間	きゅうけいじかん
休日	きゅうじつ
休暇	きゅうか
会	かい
会社	かいしゃ
会社員	かいしゃいん
会計	かいけい
会話	かいわ
会議	かいぎ
伝	つた
伝達	でんたつ
伴	ともな
伸	のび
似	に
位	い
位置	いち
低い	ひくい
低め	ひくめ
低下	ていか
低体重	ていたいじゅう
低栄養	ていえいよう
住	す
住み	すみ
住宅	じゅうたく
住居	じゅうきょ
体	からだ
体位	たいい
体内物質	たいないぶっしつ
体制	たいせい
体幹	たいかん
体性	たいせい
体性神経	たいせいしんけい
体操	たいそう
体温	たいおん
体調	たいちょう
体調不良	たいちょうふりょう
体重	たいじゅう
体験	たいけん
体験談	たいけんだん
何	なに
何回	なんかい
何度	なんど
何月何日	なんがつなんにし
余暇活動	よかかつどう
作	つく
作成	さくせい
作業	さぎょう
作業中	さぎょうちゅう
作業療法士	さぎょうりょうほうし
作用	さよう
併用	へいよう
使	つか
使い	つかい
使用	しよう
使用方法	しようほうほう
使用状況	しようじょうきょう
使用者	しようしゃ
依頼	いらい
価値尺度	かちしゃくど
侵入	しんにゅう
侵蝕	しんしょく
便	べん
便座	べんざ
便意	べんい
便秘	べんぴ
促	うなが
促進	そくしん
促進等	そくしんとう
保	たも
保健	ほけん
保健師助産師看護師法	ほけんしじょさんしかんごしほう
保健所	ほけんじょ
保存	ほぞん
